Date,EUA_Price_USD_Per_MT_CO2,HSFO,VLSFO,MGO,MDO,LNG,MEOH,B24,B40
2026-05-05,86.42,273.33,273.33,281.28,281.28,305.31,123.06,267.2,267.97
2026-05-06,86.64,274.04,274.04,282.01,282.01,306.1,123.38,267.89,268.67
2026-05-07,86.86,274.75,274.75,282.75,282.75,306.89,123.7,268.59,269.37
2026-05-08,87.09,275.46,275.46,283.48,283.48,307.69,124.02,269.28,270.07
2026-05-11,87.76,277.6,277.6,285.67,285.67,310.07,124.98,271.37,272.16
2026-05-12,87.99,278.31,278.31,286.4,286.4,310.86,125.3,272.06,272.85
2026-05-13,88.21,279.02,279.02,287.14,287.14,311.66,125.62,272.76,273.55
2026-05-14,88.44,279.73,279.73,287.87,287.87,312.45,125.94,273.45,274.25
2026-05-15,88.66,280.44,280.44,288.6,288.6,313.25,126.26,274.15,274.94
2026-05-18,89.34,282.57,282.57,290.79,290.79,315.63,127.22,276.23,277.04
2026-05-19,89.56,283.29,283.29,291.53,291.53,316.42,127.54,276.93,277.73
2026-05-20,89.79,284,284,292.26,292.26,317.22,127.86,277.62,278.43
2026-05-21,90.01,284.71,284.71,292.99,292.99,318.01,128.18,278.32,279.13
2026-05-22,90.24,285.42,285.42,293.72,293.72,318.81,128.5,279.01,279.82
2026-05-25,90.91,287.55,287.55,295.92,295.92,321.19,129.46,281.1,281.91
2026-05-26,91.14,288.26,288.26,296.65,296.65,321.98,129.78,281.79,282.61
2026-05-27,91.36,288.97,288.97,297.38,297.38,322.78,130.1,282.49,283.31
2026-05-28,91.41,289.12,289.12,297.53,297.53,322.94,130.16,282.63,283.45
2026-05-29,91.45,289.26,289.26,297.67,297.67,323.1,130.23,282.77,283.59
2026-06-01,91.59,289.69,289.69,298.11,298.11,323.58,130.42,283.19,284.01
2026-06-02,91.63,289.83,289.83,298.26,298.26,323.73,130.48,283.33,284.15
2026-06-03,91.68,289.97,289.97,298.41,298.41,323.89,130.55,283.46,284.29
2026-06-04,91.72,290.12,290.12,298.56,298.56,324.05,130.61,283.6,284.43
2026-06-05,91.77,290.26,290.26,298.7,298.7,324.21,130.68,283.74,284.57
2026-06-08,91.9,290.69,290.69,299.14,299.14,324.69,130.87,284.16,284.99
2026-06-09,91.95,290.83,290.83,299.29,299.29,324.85,130.93,284.3,285.13
2026-06-10,91.99,290.97,290.97,299.44,299.44,325.01,131,284.44,285.27
2026-06-11,92.04,291.12,291.12,299.59,299.59,325.17,131.06,284.58,285.41
2026-06-12,92.08,291.26,291.26,299.73,299.73,325.33,131.13,284.72,285.55
2026-06-15,92.22,291.69,291.69,300.17,300.17,325.81,131.32,285.14,285.97
2026-06-16,92.26,291.83,291.83,300.32,300.32,325.97,131.38,285.28,286.11
2026-06-17,92.31,291.98,291.98,300.47,300.47,326.13,131.45,285.42,286.25
2026-06-18,92.35,292.12,292.12,300.61,300.61,326.29,131.51,285.56,286.39
2026-06-19,92.4,292.26,292.26,300.76,300.76,326.45,131.58,285.7,286.53
2026-06-22,92.63,293,293,301.52,301.52,327.27,131.91,286.42,287.25
2026-06-23,92.71,293.24,293.24,301.77,301.77,327.55,132.02,286.66,287.49
2026-06-24,92.79,293.49,293.49,302.02,302.02,327.82,132.13,286.9,287.73
2026-06-25,92.87,293.73,293.73,302.28,302.28,328.09,132.24,287.14,287.98
2026-06-26,92.94,293.98,293.98,302.53,302.53,328.37,132.35,287.38,288.22
2026-06-29,93.18,294.71,294.71,303.29,303.29,329.19,132.68,288.1,288.94
2026-06-30,93.25,294.96,294.96,303.54,303.54,329.46,132.79,288.34,289.18
2026-07-01,93.33,295.2,295.2,303.79,303.79,329.74,132.9,288.58,289.42
2026-07-02,93.41,295.45,295.45,304.04,304.04,330.01,133.01,288.82,289.66
2026-07-03,93.49,295.7,295.7,304.3,304.3,330.28,133.12,289.06,289.9
2026-07-06,93.72,296.43,296.43,305.05,305.05,331.11,133.45,289.78,290.62
2026-07-07,93.8,296.68,296.68,305.31,305.31,331.38,133.57,290.02,290.86
2026-07-08,93.87,296.92,296.92,305.56,305.56,331.65,133.68,290.26,291.1
2026-07-09,93.95,297.17,297.17,305.81,305.81,331.93,133.79,290.5,291.34
2026-07-10,94.03,297.41,297.41,306.06,306.06,332.2,133.9,290.74,291.58
2026-07-13,94.26,298.15,298.15,306.82,306.82,333.02,134.23,291.46,292.3
2026-07-14,94.34,298.39,298.39,307.07,307.07,333.3,134.34,291.7,292.54
2026-07-15,94.42,298.64,298.64,307.33,307.33,333.57,134.45,291.94,292.78
2026-07-16,94.49,298.88,298.88,307.58,307.58,333.85,134.56,292.17,293.03
2026-07-17,94.57,299.13,299.13,307.83,307.83,334.12,134.67,292.41,293.27
2026-07-20,94.8,299.87,299.87,308.59,308.59,334.94,135,293.13,293.99
2026-07-21,94.88,300.11,300.11,308.84,308.84,335.22,135.11,293.37,294.23
2026-07-22,94.96,300.36,300.36,309.09,309.09,335.49,135.22,293.61,294.47
2026-07-23,95.04,300.6,300.6,309.34,309.34,335.76,135.33,293.85,294.71
2026-07-24,95.11,300.85,300.85,309.6,309.6,336.04,135.44,294.09,294.95
2026-07-27,95.35,301.58,301.58,310.35,310.35,336.86,135.77,294.81,295.67
2026-07-28,95.42,301.83,301.83,310.61,310.61,337.13,135.88,295.05,295.91
2026-07-29,95.5,302.07,302.07,310.86,310.86,337.41,135.99,295.29,296.15
2026-07-30,95.58,302.32,302.32,311.11,311.11,337.68,136.11,295.53,296.39
2026-07-31,95.66,302.56,302.56,311.36,311.36,337.96,136.22,295.77,296.63
2026-08-03,95.89,303.3,303.3,312.12,312.12,338.78,136.55,296.49,297.35
2026-08-04,95.97,303.54,303.54,312.37,312.37,339.05,136.66,296.73,297.59
2026-08-05,96.04,303.79,303.79,312.63,312.63,339.33,136.77,296.97,297.84
