Date,NINGBO B24,PORTKLANG B24,SINGAPORE B24,LAEMCHABANG B24,HOCHIMINH B24,JAKARTA B40,SURABAYA B40
2026-08-05,1001.5,984.5,981.5,1009.5,1013.5,1329,1275
2026-08-04,1029.5,1012.5,1009.5,1037.5,1041.5,1357,1303
2026-08-03,1025,1008,1005,1033,1037,1352.5,1298.5
2026-07-31,1022.5,1005.5,1002.5,1030.5,1034.5,1350,1296
2026-07-30,1015.5,998.5,995.5,1023.5,1027.5,1343,1289
2026-07-29,1001,984,981,1009,1013,1328.5,1274.5
2026-07-28,999.5,982.5,979.5,1007.5,1011.5,1327,1273
2026-07-27,1022.5,1005.5,1002.5,1030.5,1034.5,1350,1296
2026-07-24,1054,1037,1034,1062,1066,1381.5,1327.5
2026-07-23,1059.5,1042.5,1039.5,1067.5,1071.5,1387,1333
2026-07-22,1005.5,988.5,985.5,1013.5,1017.5,1333,1279
2026-07-21,970,953,950,978,982,1297.5,1243.5
2026-07-20,978,961,958,986,990,1305.5,1251.5
2026-07-17,954.5,937.5,934.5,962.5,966.5,1282,1228
2026-07-16,965.5,948.5,945.5,973.5,977.5,1293,1239
2026-07-15,960,943,940,968,972,1287.5,1233.5
2026-07-14,935.5,918.5,915.5,943.5,947.5,1263,1209
2026-07-13,877.5,860.5,857.5,885.5,889.5,1205,1151
2026-07-10,862.5,845.5,842.5,870.5,874.5,1190,1136
2026-07-09,869,852,849,877,881,1196.5,1142.5
2026-07-08,855.5,838.5,835.5,863.5,867.5,1183,1129
2026-07-07,818,801,798,826,830,1145.5,1091.5
2026-07-06,823.5,806.5,803.5,831.5,835.5,1151,1097
2026-07-03,848.5,831.5,828.5,856.5,860.5,1176,1122
2026-07-02,852,835,832,860,864,1179.5,1125.5
2026-07-01,871.5,854.5,851.5,879.5,883.5,1199,1145
2026-06-30,876,859,856,884,888,1203.5,1149.5
2026-06-29,879,862,859,887,891,1206.5,1152.5
2026-06-26,897.5,880.5,877.5,905.5,909.5,1225,1171
2026-06-25,888,871,868,896,900,1215.5,1161.5
2026-06-24,895,878,875,903,907,1222.5,1168.5
2026-06-23,886.5,869.5,866.5,894.5,898.5,1214,1160
2026-06-22,896.5,879.5,876.5,904.5,908.5,1224,1170
2026-06-19,854.5,837.5,834.5,862.5,866.5,1182,1128
2026-06-18,844,827,824,852,856,1171.5,1117.5
2026-06-17,830.5,813.5,810.5,838.5,842.5,1158,1104
2026-06-16,850.5,833.5,830.5,858.5,862.5,1178,1124
2026-06-15,870,853,850,878,882,1197.5,1143.5
2026-06-12,908.5,891.5,888.5,916.5,920.5,1236,1182
2026-06-11,933.5,916.5,913.5,941.5,945.5,1261,1207
2026-06-10,933,916,913,941,945,1260.5,1206.5
2026-06-09,955.5,938.5,935.5,963.5,967.5,1283,1229
2026-06-08,982.5,965.5,962.5,990.5,994.5,1310,1256
2026-06-05,974,957,954,982,986,1301.5,1247.5
2026-06-04,989.5,972.5,969.5,997.5,1001.5,1317,1263
2026-06-03,989.5,972.5,969.5,997.5,1001.5,1317,1263
2026-06-02,977,960,957,985,989,1304.5,1250.5
2026-06-01,974,957,954,982,986,1301.5,1247.5
2026-05-29,966,949,946,974,978,1293.5,1239.5
2026-05-28,975.5,958.5,955.5,983.5,987.5,1303,1249
2026-05-27,979.5,962.5,959.5,987.5,991.5,1307,1253
2026-05-26,978.5,961.5,958.5,986.5,990.5,1306,1252
2026-05-25,967,950,947,975,979,1294.5,1240.5
2026-05-22,1012.5,995.5,992.5,1020.5,1024.5,1340,1286
2026-05-21,1017,1000,997,1025,1029,1344.5,1290.5
2026-05-20,1050.5,1033.5,1030.5,1058.5,1062.5,1378,1324
2026-05-19,1067.5,1050.5,1047.5,1075.5,1079.5,1395,1341
2026-05-18,1067,1050,1047,1075,1079,1394.5,1340.5
2026-05-15,1037.5,1020.5,1017.5,1045.5,1049.5,1365,1311
2026-05-14,1021,1004,1001,1029,1033,1348.5,1294.5
2026-05-13,1025,1008,1005,1033,1037,1352.5,1298.5
2026-05-12,1014.5,997.5,994.5,1022.5,1026.5,1342,1288
2026-05-11,994,977,974,1002,1006,1321.5,1267.5
2026-05-08,986.5,969.5,966.5,994.5,998.5,1314,1260
2026-05-07,1001,984,981,1009,1013,1328.5,1274.5
2026-05-06,1028,1011,1008,1036,1040,1355.5,1301.5
2026-05-05,1047,1030,1027,1055,1059,1374.5,1320.5
2026-05-04,1000,983,980,1008,1012,1327.5,1273.5
2026-05-01,970,953,950,978,982,1297.5,1243.5
2026-04-30,999,982,979,1007,1011,1326.5,1272.5
2026-04-29,962,945,942,970,974,1289.5,1235.5
2026-04-28,949,932,929,957,961,1276.5,1222.5
2026-04-27,944.5,927.5,924.5,952.5,956.5,1272,1218
2026-04-24,940,923,920,948,952,1267.5,1213.5
