Date,SINGAPORE LSMGO,SINGAPORE MGO,BUSAN MGO,HONGKONG MGO,TOKYO LSMGO,ROTERDAM MGO,ROTERDAM LSMGO,ANTWERP LSMGO,NEWYORK MGO,HOUSTON MGO,LA LongBeach MGO,Balboa MGO,VALPARAISO LSMGO,SANTOS MGO,Callao MGO,Norfork LSMGO,FUJAIRAH MGO,SHANGHAI MGO,ALGECIRAS MGO,PIRAEUS MGO,ISTANBUL MGO,SEATTLE MGO,MALTA MGO,GENOA MGO,DURBAN MGO,COLOMBO MGO,STPETERS LSMGO,HAMBURG LSMGO
2026-08-05,1107,1107,1135,1127.5,879.5,1177,1177,1176,1235.5,1141,1314,1278.5,1551,1340.5,1473.5,1318.5,1274.5,1172,1223,1312,1333,1287,1282.5,1295,2016.5,1365.5,1375,1106.5
2026-08-04,1205,1205,1190,1172.5,925.5,1190.5,1190.5,1231,1240,1150.5,1346.5,1306,1556,1363.5,1480,1298.5,1322,1256.5,1240,1364,1350.5,1295,1258,1300,2101,1395,1375,1105
2026-08-03,1201.5,1201.5,1225.5,1193,962,1239,1239,1262,1310,1210,1362,1367,1577,1333,1535.5,1373,1354,1270.5,1325,1416.5,1374,1333.5,1367,1300,2110,1405,1375,1163.5
2026-07-31,1225.5,1225.5,1258.5,1225.5,1050.5,1282,1282,1276.5,1348,1240.5,1365,1380.5,1610,1286,1585,1447.5,1382.5,1284.5,1355,1405.5,1402,1325,1438.5,1400,2176.5,1428.5,1375,1198.5
2026-07-30,1224.5,1224.5,1256,1217.5,1047,1290.5,1290.5,1283,1351.5,1236,1356.5,1388,1420.5,1245.5,1565,1443.5,1383,1272.5,1352.5,1430.5,1399.5,1320,1450,1340,2147,1426.5,1375,1202.5
2026-07-29,1205.5,1205,1230,1177.5,1030.5,1289,1289,1268,1341,1247,1338,1388.5,1369.5,1271,1543,1497.5,1353.5,1257.5,1322.5,1388.5,1387,1285,1406.5,1340,2191,1438,1375,1195.5
2026-07-28,1213.5,1213.5,1187.5,1183,998.5,1256.5,1256.5,1274,1324.5,1226,1295.5,1362,1320.5,1148,1516,1462.5,1353.5,1226,1291.5,1311,1349,1295,1381.5,1340,2191.5,1380,1375,1172
2026-07-27,1232,1232,1232,1213,1068.5,1249.5,1249.5,1256,1327.5,1203.5,1335.5,1370,1418.5,1148,1511,1406.5,1412,1262.5,1297.5,1388,1339,1309,1373.5,1340,2196.5,1442,1375,1162
2026-07-24,1282.5,1282.5,1274.5,1258,1098.5,1260,1260,1253,1357.5,1238.5,1418.5,1388,1371,1041,1523,1429,1463.5,1275.5,1332,1402.5,1378.5,1339,1389.5,1320,2196.5,1464,1375,1186
2026-07-23,1261.5,1261.5,1301.5,1254,1093,1260,1260,1248.5,1327,1240,1403,1347.5,1329.5,957,1548,1414.5,1450,1267.5,1292.5,1382.5,1352,1319,1390,1320,2125,1454,1375,1185
2026-07-22,1221.5,1221.5,1230.5,1215,1113,1238.5,1238.5,1233.5,1318.5,1236.5,1387.5,1333,1283.5,934,1530,1409.5,1419.5,1223.5,1302.5,1359.5,1342.5,1303,1361,1320,2070,1444.5,1375,1179.5
2026-07-21,1199,1199,1166.5,1165,1033,1204.5,1204.5,1201.5,1325.5,1228,1377.5,1318,1277.5,927,1531,1396.5,1375,1186.5,1250,1331,1311.5,1298,1321,1310,2049,1462,1360,1143.5
2026-07-20,1165,1165,1201.5,1167.5,1026.5,1202.5,1202.5,1184,1319.5,1218,1393,1323.5,1258,961,1559,1385.5,1357.5,1171,1260,1326,1308.5,1214,1311.5,1180,2165,1458,1360,1140.5
2026-07-17,1119.5,1119.5,1146,1112.5,1008.5,1170.5,1170.5,1136,1254.5,1184,1363,1295,1199,954.5,1543.5,1378.5,1354.5,1164.5,1247,1300,1301,1209,1289.5,1180,2162,1465.5,1360,1144.5
2026-07-16,1144,1144,1112.5,1102.5,1050,1155.5,1155.5,1121,1227.5,1195,1308.5,1281,1198,951,1498,1355.5,1345.5,1163,1210,1263.5,1282.5,1250,1255,1180,1925,1464,1345,1106.5
2026-07-15,1159,1159,1127,1146.5,1072,1155,1155,1112.5,1268.5,1161.5,1306,1275,1198,963.5,1501.5,1354.5,1403.5,1180.5,1245,1254,1298.5,1245,1256,1180,1927.5,1474,1330,1138.5
2026-07-14,1085,1085,1077,1118,1025.5,1107.5,1107.5,1078,1206,1121.5,1236,1233.5,1345,973.5,1497.5,1307.5,1335.5,1080,1255,1216.5,1252,1215,1244,1160,2142,1470.5,1315,1114
2026-07-13,996,996,999.5,1048.5,901,1043,1043,1027,1138.5,1067,1185,1164,1298,983,1427,1227.5,1277,1020.5,1105,1111,1164.5,1165,1139,1130,2137,1462.5,1300,1051.5
2026-07-10,976,977,986.5,1025,885.5,1017.5,1017.5,990.5,1173.5,1073,1160.5,1151.5,1289,988.5,1392,1235.5,1259,1008.5,1093.5,1089,1135.5,1110,1102,1115,2168,1478,1285,1031
2026-07-09,964,964,956.5,1030,891,980.5,980.5,922.5,1122.5,1052,1189.5,1157,1223.5,1000,1409,1248,1263.5,998.5,1122.5,1113.5,1140.5,1111.5,1143.5,1050,2132.5,1510,1285,1043.5
2026-07-08,931,931,934,996,898.5,970,970,950,1077.5,968.5,1110,1110,1213.5,995,1369,1128,1213.5,972,1062.5,1086.5,1103,1091.5,1107,1050,2120,1506,1285,1011.5
2026-07-07,912,912,903,985.5,867.5,956.5,956.5,939.5,1061,940.5,1058.5,1075.5,1218,988.5,1338,1118,1193,964.5,1035,1047,1090.5,1076.5,1052,1030,2129.5,1528.5,1285,977.5
