Date,SINGAPORE VLSFO,BUSAN VLSFO,HONGKONG VLSFO,TOKYO VLSFO,ROTERDAM VLSFO,ANTWERP VLSFO,NEWYORK VLSFO,HOUSTON VLSFO,LA LongBeach VLSFO,Balboa VLSFO,VALPARAISO VLSFO,SANTOS VLSFO,FUJAIRAH VLSFO,SHANGHAI VLSFO,ALGECIRAS VLSFO,PIRAEUS VLSFO,ISTANBUL VLSFO,SEATTLE VLSFO,MALTA VLSFO,GENOA VLSFO,PANAMA VLSFO,DURBAN VLSFO,COLOMBO VLSFO,STPETERS VLSFO,HAMBURG VLSFO,NINGBO VLSFO,NANSHA VLSFO,SHEKOU VLSFO,QINGDAO VLSFO,TIANJIN VLSFO,XIAMEN VLSFO,JAKARTA VLSFO,SEMARANG VLSFO,SURABAYA VLSFO,GANGAVARAM VLSFO,CHENNAI VLSFO,INCHEON VLSFO,PORTKLANG VLSFO,BANGKOK VLSFO,LAEMCHABANG VLSFO,HAIPHONG VLSFO,HOCHIMINH VLSFO,QUINHON VLSFO
2026-08-05,816.5,797.5,822.5,811,646.5,643.5,651,667.5,815,714.5,955,815,768,793.5,665.5,794.5,916.5,788,703,660,714.5,889.5,869,1012.5,644.5,793.5,828.5,828.5,799.5,801.5,830.5,886.5,911.5,901.5,860.5,840.5,807.5,819.5,858.5,844.5,854.5,848.5,871.5
2026-08-04,844.5,814,850,812.5,662,668.5,658.5,680,824,713.5,965,825.5,804.5,807.5,710,803,936.5,799.5,719.5,660,713.5,890,892.5,1012.5,656,807.5,856,856,813.5,815.5,858,914.5,939.5,929.5,888.5,868.5,824,847.5,886.5,872.5,882.5,876.5,899.5
2026-08-03,840,822.5,833.5,796.5,669,667,692,715,817.5,760.5,973.5,809,799,797.5,705,825.5,940,809.5,709.5,660,760.5,897,884,1012.5,659.5,797.5,839.5,839.5,803.5,805.5,841.5,910,935,925,884,864,832.5,843,882,868,878,872,895
2026-07-31,837.5,819,833,781,678.5,668,724,734,810,760.5,980.5,814.5,808.5,807,707.5,825,963,845,749.5,740,760.5,898.5,883.5,1012.5,675,807,839,839,813,815,841,907.5,932.5,922.5,881.5,861.5,829,840.5,879.5,865.5,875.5,869.5,892.5
2026-07-30,830.5,818,825,790.5,683,676.5,730,730.5,799,765,929,828.5,804,786,700,816,975,843,754.5,750,765,892.5,890.5,1012.5,671.5,786,831,831,792,794,833,900.5,925.5,915.5,874.5,854.5,828,833.5,872.5,858.5,868.5,862.5,885.5
2026-07-29,816,787.5,791,761.5,684.5,671,716.5,727.5,788,760,907,829.5,786.5,783,710,821,979.5,823,742,750,760,890,880,1012.5,665,783,797,797,789,791,799,886,911,901,860,840,797.5,819,858,844,854,848,871
2026-07-28,814.5,798,786,759.5,684.5,683.5,722.5,724.5,828.5,762,902,853,787,763,710,820.5,974,833,743.5,750,762,901.5,880,1012.5,660,763,792,792,769,771,794,884.5,909.5,899.5,858.5,838.5,808,817.5,856.5,842.5,852.5,846.5,869.5
2026-07-27,837.5,837,806.5,809.5,678.5,675.5,746.5,746.5,853.5,783,922,853,818,787,730,829,976.5,883,745.5,750,783,891.5,897,1012.5,665,787,812.5,812.5,793,795,814.5,907.5,932.5,922.5,881.5,861.5,847,840.5,879.5,865.5,875.5,869.5,892.5
2026-07-24,869,845,839,819.5,697.5,689,773,778.5,866.5,782,909.5,803,852,803,738.5,832,978.5,911,765,730,782,893,911.5,1012.5,687.5,803,845,845,809,811,847,939,964,954,913,893,855,872,911,897,907,901,924
2026-07-23,874.5,862,839.5,812.5,713,693.5,735.5,762.5,855,768.5,910.5,806.5,847.5,823.5,715,816.5,966.5,891,772,730,768.5,897,904.5,1012.5,694,823.5,845.5,845.5,829.5,831.5,847.5,944.5,969.5,959.5,918.5,898.5,872,877.5,916.5,902.5,912.5,906.5,929.5
