Service_Code,Direction,Origin_Port,Origin_Port_Code,Destination_Port,Destination_Port_Code,Published_Transit_Days,Source_File,Data_Notes
BD1,West-Bound,Singapore,SGSIN,Chittagong,BDCGP,5,BD1-CHITTAGONG-SERVICE_PIL-L24042026(1).pdf,
BD1,East-Bound,Chittagong,BDCGP,Singapore,SGSIN,5,BD1-CHITTAGONG-SERVICE_PIL-L24042026(1).pdf,
BD2,West-Bound,Singapore,SGSIN,Chittagong,BDCGP,5,BD2-CHITTAGONG-MONGLA-SERVICE_PIL-L24042026.pdf,
BD2,West-Bound,Singapore,SGSIN,Mongla,BDMGL,8,BD2-CHITTAGONG-MONGLA-SERVICE_PIL-L24042026.pdf,
BD2,East-Bound,Chittagong,BDCGP,Singapore,SGSIN,8,BD2-CHITTAGONG-MONGLA-SERVICE_PIL-L24042026.pdf,
BD2,East-Bound,Chittagong,BDCGP,Mongla,BDMGL,1,BD2-CHITTAGONG-MONGLA-SERVICE_PIL-L24042026.pdf,
BD2,East-Bound,Mongla,BDMGL,Singapore,SGSIN,5,BD2-CHITTAGONG-MONGLA-SERVICE_PIL-L24042026.pdf,
CAS,West-Bound,Singapore,SGSIN,Kolkata,INCCU,6,CAS-CALCUTTA-EXPRESS-SERVICE_PIL-L24042026.pdf,
CAS,East-Bound,Kolkata,INCCU,Singapore,SGSIN,6,CAS-CALCUTTA-EXPRESS-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Xiamen,CNXMN,Haiphong,VNHPH,4,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Xiamen,CNXMN,Singapore,SGSIN,9,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Xiamen,CNXMN,Kolkata,INCCU,16,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Shekou,CNSHK,Haiphong,VNHPH,2,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Shekou,CNSHK,Singapore,SGSIN,7,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Shekou,CNSHK,Kolkata,INCCU,14,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Haiphong,VNHPH,Singapore,SGSIN,5,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Haiphong,VNHPH,Kolkata,INCCU,12,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,West-Bound,Singapore,SGSIN,Kolkata,INCCU,6,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,East-Bound,Kolkata,INCCU,Xiamen,CNXMN,10,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
CCS,East-Bound,Kolkata,INCCU,Shekou,CNSHK,12,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,
